"Transaction Date","First Name","Last Name",Title,Symbol,Name,"Transaction Total",Transaction,"Note Text"
2023-10-20,Thomas,Carper,"US Senator",PSQ,"Short QQQ -1X ",24002,Sell,"Traded $3,003 To $45,000 . By Spouse."
2023-10-20,Thomas,Carper,"US Senator",HDGE,"Active Bear ET",24002,Buy,"Traded $3,003 To $45,000 . By Spouse."
2023-10-06,Peter,Sessions,"US Congressman",WBD,"Discovery Inc ",494,Sell,"By Spouse."
2023-10-06,Peter,Sessions,"US Congressman",ARCC,"Ares Capital C",570,Buy,"By Spouse."
2023-10-06,Max,Miller,"US Congressman",VOO,"S&P 500 ETF Va",32500,Sell,"Traded $15,001 to $50,000 ."
2023-10-06,Max,Miller,"US Congressman",VO,"Midcap ETF Van",8000,Sell,"Traded $1,001 to $15,000 ."
2023-10-06,Max,Miller,"US Congressman",JEPI,"JPM Equity Pre",8000,Sell,"Traded $1,001 to $15,000 ."
2023-10-04,Thomas,Carper,"US Senator",RVNC,"Revance Therap",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2023-10-04,Richard,Larsen,"US Congressman",MDLZ,"Mondelez Intl ",8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,Thomas,Carper,"US Senator",GPCR,"Structure Ther",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",PG,"Procter & Gamb",8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",RTX,"Rtx Corp",8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",SPGI,"S&P Global Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",CRM,"Salesforce Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",SHW,Sherwin-Willia,8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",SBUX,"Starbucks Corp",8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",TMUS,"T-Mobile US",8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",TXN,"Texas Instrume",8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",TMO,"Thermo Fisher ",32500,Buy,"Traded $15,001 to $50,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",UNP,"Union Pacific ",8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",UNH,"Unitedhealth G",8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",V,"Visa Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,Markwayne,Mullin,"US Senator",ZTS,"Zoetis Inc Cl ",8000,Buy,"Traded $1,001 to $15,000 ."
2023-10-03,James,Vance,"US Senator",WMT,"Walmart Inc",75000,Sell,"Traded $50,001 to $100,000 ."
2023-09-29,Jonathan,Jackson,"US Congressman",DTE,"Dte Energy Com",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-29,Michael,Mccaul,"US Congressman",FMCC,"Freddie Mac",75000,Sell,"By Dependent Child. Traded $50,001 to $100,000 ."
2023-09-29,Michael,Mccaul,"US Congressman",FMCC,"Freddie Mac",175000,Sell,"By Spouse. Traded $100,001 To $250,000 ."
2023-09-29,Rohit,Khanna,"US Congressman",ZTS,"Zoetis Inc Cl ",24002,Buy,"By Spouse & Dependent Child. Traded $3,003 to $45,000 ."
2023-09-29,Rohit,Khanna,"US Congressman",COP,Conocophillips,24002,Buy,"By Spouse & Dependent Child. Traded $3,003 to $45,000 ."
2023-09-29,Rohit,Khanna,"US Congressman",KO,"Coca-Cola Comp",24002,Buy,"By Spouse & Dependent Child. Traded $3,003 to $45,000 ."
2023-09-29,Rohit,Khanna,"US Congressman",ACN,"Accenture Plc",24002,Buy,"By Spouse & Dependent Child. Traded $3,003 to $45,000 ."
